hospital,department,day_of_week,hour,month,is_weekend,is_festival,temperature,is_rainy,patient_count,wait_time_minutes,hospital_encoded,department_encoded,day_encoded
District Hospital Ernakulam,Paediatrics,Thursday,15,11,0,0,31.2,0,70,29,0,4,3
Taluk Hospital Thrissur,Cardiology,Saturday,9,5,1,0,33.3,0,104,45,2,0,2
General Hospital Kollam,Orthopaedics,Tuesday,11,3,0,0,24.6,0,80,33,1,3,4
General Hospital Kollam,Paediatrics,Thursday,17,4,0,0,33.7,0,51,17,1,4,3
General Hospital Kollam,General OPD,Monday,14,4,0,0,35.3,0,64,21,1,1,1
General Hospital Kollam,Gynaecology,Tuesday,9,8,0,0,35.2,0,85,38,1,2,4
District Hospital Ernakulam,Gynaecology,Saturday,16,7,1,0,36.7,1,55,26,0,2,2
District Hospital Ernakulam,Paediatrics,Wednesday,11,11,0,0,34.7,0,83,30,0,4,5
General Hospital Kollam,Orthopaedics,Thursday,9,12,0,0,27.3,0,71,26,1,3,3
Taluk Hospital Thrissur,General OPD,Tuesday,10,4,0,0,33.7,0,95,28,2,1,4
District Hospital Ernakulam,Paediatrics,Wednesday,16,8,0,0,24.9,0,44,18,0,4,5
Taluk Hospital Thrissur,General OPD,Friday,14,8,0,0,37.2,1,54,20,2,1,0
District Hospital Ernakulam,Gynaecology,Saturday,16,10,1,0,30.8,0,52,21,0,2,2
General Hospital Kollam,Paediatrics,Wednesday,14,12,0,0,35.8,0,78,24,1,4,5
Taluk Hospital Thrissur,Gynaecology,Monday,14,10,0,0,33.3,0,25,11,2,2,1
General Hospital Kollam,Paediatrics,Tuesday,8,5,0,0,28.6,0,49,16,1,4,4
District Hospital Ernakulam,Orthopaedics,Thursday,12,2,0,0,24.3,0,54,17,0,3,3
District Hospital Ernakulam,Cardiology,Saturday,9,11,1,0,34.6,0,125,52,0,0,2
General Hospital Kollam,Gynaecology,Tuesday,11,3,0,0,33.4,0,86,43,1,2,4
District Hospital Ernakulam,Orthopaedics,Wednesday,10,10,0,0,37.5,0,95,32,0,3,5
General Hospital Kollam,Orthopaedics,Monday,17,1,0,0,32.1,0,78,36,1,3,1
District Hospital Ernakulam,Cardiology,Monday,17,12,0,0,32.8,0,26,13,0,0,1
District Hospital Ernakulam,Gynaecology,Monday,17,1,0,0,31.5,0,62,25,0,2,1
Taluk Hospital Thrissur,Orthopaedics,Monday,14,8,0,0,30.1,1,87,39,2,3,1
Taluk Hospital Thrissur,Cardiology,Thursday,10,12,0,0,37.5,0,67,32,2,0,3
Taluk Hospital Thrissur,Paediatrics,Thursday,14,12,0,0,27.8,0,74,24,2,4,3
General Hospital Kollam,Orthopaedics,Thursday,11,8,0,0,32.5,1,61,24,1,3,3
District Hospital Ernakulam,Cardiology,Thursday,11,6,0,0,27.6,1,98,49,0,0,3
District Hospital Ernakulam,Gynaecology,Monday,16,4,0,0,27.4,0,46,19,0,2,1
General Hospital Kollam,Paediatrics,Saturday,15,8,1,0,24.2,1,70,27,1,4,2
District Hospital Ernakulam,Gynaecology,Wednesday,15,9,0,0,28.8,0,55,22,0,2,5
Taluk Hospital Thrissur,Paediatrics,Wednesday,12,5,0,0,25.7,0,32,10,2,4,5
Taluk Hospital Thrissur,Gynaecology,Saturday,10,4,1,0,34.3,0,82,38,2,2,2
Taluk Hospital Thrissur,Gynaecology,Wednesday,9,4,0,0,27.2,0,61,24,2,2,5
Taluk Hospital Thrissur,Gynaecology,Tuesday,12,1,0,0,31.7,0,64,32,2,2,4
Taluk Hospital Thrissur,Paediatrics,Monday,8,10,0,0,30.6,0,48,16,2,4,1
General Hospital Kollam,Orthopaedics,Thursday,9,2,0,0,30.9,0,86,36,1,3,3
General Hospital Kollam,Cardiology,Tuesday,17,5,0,0,37.9,0,27,12,1,0,4
District Hospital Ernakulam,Gynaecology,Friday,17,4,0,0,31.3,0,48,24,0,2,0
District Hospital Ernakulam,Gynaecology,Thursday,12,10,0,0,24.8,0,67,24,0,2,3
General Hospital Kollam,Cardiology,Wednesday,9,3,0,0,26.4,0,54,21,1,0,5
District Hospital Ernakulam,Paediatrics,Saturday,17,8,1,0,24.5,1,63,24,0,4,2
District Hospital Ernakulam,General OPD,Saturday,11,5,1,0,35.1,0,102,36,0,1,2
General Hospital Kollam,Paediatrics,Monday,16,4,0,0,26.1,0,37,15,1,4,1
General Hospital Kollam,General OPD,Tuesday,12,10,0,0,35.5,0,78,23,1,1,4
General Hospital Kollam,Paediatrics,Saturday,12,12,1,0,37.2,0,67,24,1,4,2
District Hospital Ernakulam,General OPD,Friday,8,7,0,0,28.5,1,35,10,0,1,0
Taluk Hospital Thrissur,Gynaecology,Friday,8,11,0,0,27.8,0,22,10,2,2,0
General Hospital Kollam,Paediatrics,Friday,15,5,0,0,38.0,0,47,18,1,4,0
District Hospital Ernakulam,General OPD,Thursday,13,7,0,0,28.5,1,40,12,0,1,3
Taluk Hospital Thrissur,Paediatrics,Wednesday,14,9,0,0,30.4,1,50,15,2,4,5
District Hospital Ernakulam,Gynaecology,Monday,16,8,0,0,24.8,1,69,32,0,2,1
Taluk Hospital Thrissur,Paediatrics,Monday,11,5,0,0,25.8,0,68,24,2,4,1
Taluk Hospital Thrissur,Paediatrics,Monday,8,11,0,0,35.2,0,65,20,2,4,1
Taluk Hospital Thrissur,General OPD,Friday,14,2,0,0,37.9,0,78,21,2,1,0
General Hospital Kollam,Cardiology,Thursday,12,9,0,0,27.8,0,50,20,1,0,3
Taluk Hospital Thrissur,Cardiology,Thursday,11,10,0,0,34.4,0,58,31,2,0,3
District Hospital Ernakulam,Paediatrics,Wednesday,16,5,0,0,24.0,0,66,22,0,4,5
Taluk Hospital Thrissur,Gynaecology,Saturday,15,3,1,0,31.5,0,57,23,2,2,2
Taluk Hospital Thrissur,Paediatrics,Thursday,13,4,0,0,27.3,0,44,14,2,4,3
District Hospital Ernakulam,General OPD,Wednesday,15,12,0,0,29.3,0,62,23,0,1,5
Taluk Hospital Thrissur,Cardiology,Thursday,8,3,0,0,37.5,0,41,21,2,0,3
District Hospital Ernakulam,General OPD,Friday,15,1,0,0,26.0,0,75,26,0,1,0
General Hospital Kollam,General OPD,Thursday,12,6,0,0,33.7,0,74,22,1,1,3
Taluk Hospital Thrissur,Gynaecology,Thursday,13,11,0,0,36.4,0,51,25,2,2,3
General Hospital Kollam,Gynaecology,Monday,11,11,0,0,36.9,0,64,30,1,2,1
District Hospital Ernakulam,General OPD,Saturday,9,8,1,0,33.7,0,67,20,0,1,2
General Hospital Kollam,Orthopaedics,Wednesday,13,7,0,0,27.4,1,73,32,1,3,5
General Hospital Kollam,Cardiology,Monday,17,7,0,0,33.6,1,67,26,1,0,1
District Hospital Ernakulam,Orthopaedics,Thursday,12,11,0,1,36.6,0,69,32,0,3,3
Taluk Hospital Thrissur,Gynaecology,Tuesday,9,8,0,0,37.8,1,87,40,2,2,4
District Hospital Ernakulam,Orthopaedics,Tuesday,14,8,0,0,27.3,1,66,24,0,3,4
Taluk Hospital Thrissur,Orthopaedics,Monday,14,5,0,0,31.9,0,63,28,2,3,1
General Hospital Kollam,Gynaecology,Saturday,15,5,1,0,35.2,0,73,35,1,2,2
General Hospital Kollam,Cardiology,Friday,12,11,0,0,34.1,0,62,31,1,0,0
General Hospital Kollam,General OPD,Saturday,8,5,1,0,30.2,0,72,22,1,1,2
General Hospital Kollam,General OPD,Wednesday,13,12,0,0,26.5,0,28,10,1,1,5
District Hospital Ernakulam,Gynaecology,Friday,12,3,0,0,36.8,0,80,34,0,2,0
District Hospital Ernakulam,Orthopaedics,Monday,15,2,0,0,34.6,0,34,15,0,3,1
Taluk Hospital Thrissur,Paediatrics,Friday,13,2,0,0,29.5,0,36,13,2,4,0
District Hospital Ernakulam,Orthopaedics,Saturday,12,10,1,0,35.5,0,95,36,0,3,2
Taluk Hospital Thrissur,Cardiology,Thursday,8,10,0,0,28.6,0,59,24,2,0,3
General Hospital Kollam,Paediatrics,Saturday,12,11,1,0,25.6,0,37,15,1,4,2
District Hospital Ernakulam,Paediatrics,Monday,9,4,0,0,25.9,0,79,27,0,4,1
Taluk Hospital Thrissur,Gynaecology,Thursday,17,12,0,0,26.2,0,46,21,2,2,3
District Hospital Ernakulam,Gynaecology,Thursday,12,1,0,0,29.2,0,48,20,0,2,3
General Hospital Kollam,Orthopaedics,Monday,13,9,0,0,29.0,1,42,19,1,3,1
District Hospital Ernakulam,General OPD,Saturday,11,11,1,0,32.4,0,66,18,0,1,2
District Hospital Ernakulam,Cardiology,Tuesday,17,4,0,0,35.6,0,55,22,0,0,4
General Hospital Kollam,Cardiology,Wednesday,10,10,0,0,27.9,0,59,32,1,0,5
Taluk Hospital Thrissur,Orthopaedics,Tuesday,9,11,0,0,24.4,0,50,18,2,3,4
General Hospital Kollam,Gynaecology,Wednesday,8,3,0,0,24.7,0,67,28,1,2,5
General Hospital Kollam,General OPD,Thursday,15,6,0,0,32.3,1,44,17,1,1,3
General Hospital Kollam,Gynaecology,Wednesday,15,11,0,1,24.9,0,70,34,1,2,5
District Hospital Ernakulam,General OPD,Thursday,15,2,0,0,28.5,0,29,7,0,1,3
District Hospital Ernakulam,Gynaecology,Saturday,17,9,1,0,28.6,0,68,27,0,2,2
Taluk Hospital Thrissur,Gynaecology,Thursday,9,12,0,0,35.9,0,91,45,2,2,3
Taluk Hospital Thrissur,Cardiology,Thursday,15,4,0,1,28.7,0,69,30,2,0,3
Taluk Hospital Thrissur,General OPD,Wednesday,14,6,0,0,27.6,0,63,24,2,1,5
General Hospital Kollam,General OPD,Monday,9,7,0,0,34.4,1,68,23,1,1,1
Taluk Hospital Thrissur,Gynaecology,Friday,13,11,0,0,29.8,0,75,34,2,2,0
District Hospital Ernakulam,General OPD,Wednesday,17,5,0,0,25.5,0,52,15,0,1,5
Taluk Hospital Thrissur,Paediatrics,Tuesday,9,6,0,0,31.8,1,77,29,2,4,4
District Hospital Ernakulam,Gynaecology,Friday,17,11,0,0,31.8,0,58,29,0,2,0
Taluk Hospital Thrissur,Orthopaedics,Monday,10,5,0,0,34.7,0,108,40,2,3,1
General Hospital Kollam,Cardiology,Tuesday,17,11,0,0,25.0,0,67,32,1,0,4
General Hospital Kollam,General OPD,Saturday,16,4,1,0,29.9,0,56,16,1,1,2
District Hospital Ernakulam,Orthopaedics,Friday,17,2,0,0,26.2,0,68,28,0,3,0
Taluk Hospital Thrissur,General OPD,Wednesday,15,11,0,0,30.8,0,48,15,2,1,5
General Hospital Kollam,Gynaecology,Monday,13,7,0,0,28.0,0,51,22,1,2,1
District Hospital Ernakulam,General OPD,Tuesday,14,10,0,1,24.1,0,59,23,0,1,4
General Hospital Kollam,Orthopaedics,Wednesday,13,2,0,0,31.0,0,47,16,1,3,5
District Hospital Ernakulam,Gynaecology,Saturday,11,9,1,0,35.7,0,69,28,0,2,2
Taluk Hospital Thrissur,General OPD,Thursday,8,8,0,0,36.1,1,66,21,2,1,3
Taluk Hospital Thrissur,Paediatrics,Wednesday,9,7,0,0,37.5,1,120,46,2,4,5
Taluk Hospital Thrissur,Orthopaedics,Monday,14,2,0,0,30.1,0,45,18,2,3,1
District Hospital Ernakulam,Orthopaedics,Saturday,13,4,1,0,34.9,0,39,15,0,3,2
General Hospital Kollam,Gynaecology,Friday,11,6,0,0,34.2,0,102,37,1,2,0
General Hospital Kollam,Cardiology,Wednesday,11,3,0,0,26.1,0,98,48,1,0,5
General Hospital Kollam,Paediatrics,Thursday,17,10,0,0,33.5,0,76,28,1,4,3
Taluk Hospital Thrissur,Gynaecology,Wednesday,13,3,0,0,25.0,0,48,21,2,2,5
District Hospital Ernakulam,Gynaecology,Monday,13,9,0,0,28.3,1,33,13,0,2,1
District Hospital Ernakulam,General OPD,Saturday,9,10,1,0,31.1,0,94,32,0,1,2
Taluk Hospital Thrissur,General OPD,Thursday,17,11,0,0,28.5,0,50,16,2,1,3
General Hospital Kollam,Paediatrics,Monday,13,12,0,0,31.1,0,31,9,1,4,1
Taluk Hospital Thrissur,Paediatrics,Thursday,16,9,0,0,26.2,1,48,16,2,4,3
District Hospital Ernakulam,Gynaecology,Monday,13,2,0,0,25.3,0,63,26,0,2,1
District Hospital Ernakulam,Gynaecology,Tuesday,13,2,0,0,33.3,0,78,31,0,2,4
Taluk Hospital Thrissur,Paediatrics,Tuesday,17,12,0,0,28.3,0,44,17,2,4,4
District Hospital Ernakulam,Cardiology,Saturday,16,2,1,0,33.4,0,67,29,0,0,2
District Hospital Ernakulam,Orthopaedics,Tuesday,11,6,0,0,30.8,1,68,23,0,3,4
District Hospital Ernakulam,General OPD,Friday,16,12,0,0,24.5,0,41,15,0,1,0
Taluk Hospital Thrissur,Cardiology,Friday,14,3,0,0,26.5,0,64,33,2,0,0
General Hospital Kollam,Paediatrics,Monday,14,6,0,0,34.1,0,59,19,1,4,1
Taluk Hospital Thrissur,Paediatrics,Tuesday,16,4,0,0,37.5,0,70,25,2,4,4
General Hospital Kollam,Orthopaedics,Saturday,17,8,1,1,34.8,0,87,35,1,3,2
General Hospital Kollam,Cardiology,Friday,10,5,0,0,33.0,0,105,46,1,0,0
General Hospital Kollam,Gynaecology,Monday,12,2,0,0,26.2,0,48,24,1,2,1
General Hospital Kollam,Paediatrics,Monday,11,8,0,0,37.0,1,85,31,1,4,1
General Hospital Kollam,Paediatrics,Monday,13,4,0,0,28.5,0,26,10,1,4,1
Taluk Hospital Thrissur,Orthopaedics,Tuesday,10,1,0,0,36.8,0,80,34,2,3,4
General Hospital Kollam,Paediatrics,Thursday,17,1,0,0,24.3,0,33,13,1,4,3
Taluk Hospital Thrissur,Gynaecology,Friday,14,2,0,0,28.0,0,39,14,2,2,0
General Hospital Kollam,Paediatrics,Saturday,17,8,1,0,25.6,0,73,27,1,4,2
Taluk Hospital Thrissur,Gynaecology,Friday,11,12,0,0,28.1,0,50,22,2,2,0
General Hospital Kollam,Gynaecology,Thursday,10,11,0,0,25.2,0,73,26,1,2,3
Taluk Hospital Thrissur,Gynaecology,Friday,16,9,0,0,29.5,1,70,28,2,2,0
District Hospital Ernakulam,Orthopaedics,Saturday,8,6,1,0,24.9,1,87,36,0,3,2
Taluk Hospital Thrissur,Orthopaedics,Tuesday,8,6,0,0,28.7,0,73,32,2,3,4
District Hospital Ernakulam,Paediatrics,Saturday,10,3,1,0,34.0,0,125,45,0,4,2
District Hospital Ernakulam,Cardiology,Monday,11,1,0,0,37.1,0,82,36,0,0,1
Taluk Hospital Thrissur,Paediatrics,Wednesday,8,11,0,0,28.0,0,75,30,2,4,5
Taluk Hospital Thrissur,Orthopaedics,Wednesday,9,6,0,0,36.5,0,107,50,2,3,5
District Hospital Ernakulam,Cardiology,Thursday,15,6,0,0,31.3,0,66,29,0,0,3
District Hospital Ernakulam,Gynaecology,Tuesday,16,5,0,0,25.4,0,40,18,0,2,4
District Hospital Ernakulam,Paediatrics,Friday,14,3,0,0,30.2,0,48,14,0,4,0
District Hospital Ernakulam,Gynaecology,Thursday,12,11,0,0,37.3,0,24,11,0,2,3
District Hospital Ernakulam,Orthopaedics,Friday,10,1,0,0,35.9,0,93,41,0,3,0
General Hospital Kollam,Cardiology,Monday,11,11,0,0,29.1,0,110,52,1,0,1
Taluk Hospital Thrissur,Cardiology,Saturday,15,6,1,0,30.2,1,53,25,2,0,2
District Hospital Ernakulam,Orthopaedics,Saturday,12,4,1,0,24.4,0,46,18,0,3,2
District Hospital Ernakulam,Gynaecology,Monday,12,5,0,0,30.2,0,59,23,0,2,1
District Hospital Ernakulam,Cardiology,Monday,10,2,0,0,26.4,0,95,43,0,0,1
General Hospital Kollam,Orthopaedics,Saturday,13,12,1,0,31.7,0,53,24,1,3,2
General Hospital Kollam,Cardiology,Wednesday,16,4,0,0,37.8,0,70,27,1,0,5
District Hospital Ernakulam,General OPD,Wednesday,16,10,0,1,30.5,0,75,21,0,1,5
General Hospital Kollam,General OPD,Wednesday,14,12,0,0,30.7,0,46,16,1,1,5
Taluk Hospital Thrissur,General OPD,Tuesday,13,11,0,0,30.3,0,63,21,2,1,4
General Hospital Kollam,Gynaecology,Saturday,17,3,1,1,37.5,0,82,35,1,2,2
General Hospital Kollam,General OPD,Friday,10,5,0,0,26.3,0,109,39,1,1,0
District Hospital Ernakulam,Gynaecology,Wednesday,9,5,0,0,32.9,0,85,33,0,2,5
Taluk Hospital Thrissur,Orthopaedics,Friday,16,2,0,0,33.0,0,57,26,2,3,0
General Hospital Kollam,Cardiology,Saturday,17,12,1,0,28.7,0,94,44,1,0,2
General Hospital Kollam,General OPD,Monday,17,5,0,0,27.0,0,56,18,1,1,1
Taluk Hospital Thrissur,General OPD,Thursday,16,5,0,0,37.4,0,50,14,2,1,3
Taluk Hospital Thrissur,Paediatrics,Wednesday,15,2,0,0,24.8,0,48,17,2,4,5
District Hospital Ernakulam,Cardiology,Wednesday,17,3,0,0,36.1,0,40,20,0,0,5
District Hospital Ernakulam,Paediatrics,Tuesday,13,9,0,0,25.5,1,37,12,0,4,4
General Hospital Kollam,Cardiology,Monday,8,5,0,0,36.1,0,46,19,1,0,1
General Hospital Kollam,Orthopaedics,Friday,13,4,0,0,26.2,0,52,20,1,3,0
District Hospital Ernakulam,Paediatrics,Monday,9,7,0,0,30.4,1,97,33,0,4,1
General Hospital Kollam,Orthopaedics,Thursday,17,11,0,0,30.6,0,54,17,1,3,3
General Hospital Kollam,Paediatrics,Tuesday,12,12,0,0,34.7,0,43,12,1,4,4
General Hospital Kollam,Gynaecology,Friday,11,6,0,0,28.0,1,88,42,1,2,0
District Hospital Ernakulam,Gynaecology,Saturday,17,2,1,0,37.7,0,60,24,0,2,2
District Hospital Ernakulam,Gynaecology,Wednesday,10,4,0,0,31.1,0,82,28,0,2,5
General Hospital Kollam,Cardiology,Saturday,13,8,1,0,30.4,0,67,26,1,0,2
Taluk Hospital Thrissur,Orthopaedics,Tuesday,14,10,0,0,35.8,0,57,21,2,3,4
Taluk Hospital Thrissur,Gynaecology,Thursday,17,5,0,0,35.4,0,43,17,2,2,3
General Hospital Kollam,Paediatrics,Friday,12,12,0,0,33.6,0,21,7,1,4,0
District Hospital Ernakulam,Gynaecology,Friday,11,12,0,0,32.2,0,60,26,0,2,0
Taluk Hospital Thrissur,Gynaecology,Thursday,10,11,0,0,24.4,0,110,51,2,2,3
General Hospital Kollam,General OPD,Thursday,13,7,0,0,29.8,1,62,22,1,1,3
District Hospital Ernakulam,General OPD,Saturday,10,9,1,1,31.9,0,115,38,0,1,2
District Hospital Ernakulam,Cardiology,Thursday,16,6,0,0,29.0,0,66,33,0,0,3
Taluk Hospital Thrissur,Orthopaedics,Friday,15,4,0,0,27.9,0,39,13,2,3,0
District Hospital Ernakulam,Orthopaedics,Saturday,11,12,1,0,30.8,0,95,35,0,3,2
Taluk Hospital Thrissur,Orthopaedics,Wednesday,9,10,0,0,31.6,0,107,51,2,3,5
District Hospital Ernakulam,Cardiology,Wednesday,8,5,0,0,25.1,0,79,36,0,0,5
District Hospital Ernakulam,Paediatrics,Tuesday,11,9,0,0,37.1,0,58,17,0,4,4
Taluk Hospital Thrissur,Gynaecology,Tuesday,11,1,0,0,36.7,0,64,29,2,2,4
General Hospital Kollam,General OPD,Thursday,13,12,0,0,25.4,0,69,19,1,1,3
Taluk Hospital Thrissur,Cardiology,Thursday,15,8,0,0,26.8,0,40,17,2,0,3
General Hospital Kollam,General OPD,Saturday,17,4,1,0,34.3,0,89,34,1,1,2
General Hospital Kollam,Paediatrics,Tuesday,8,7,0,0,30.9,0,75,32,1,4,4
General Hospital Kollam,General OPD,Wednesday,17,10,0,0,37.0,0,41,12,1,1,5
Taluk Hospital Thrissur,Gynaecology,Friday,15,3,0,0,31.1,0,37,14,2,2,0
General Hospital Kollam,Orthopaedics,Tuesday,15,11,0,0,34.1,0,20,8,1,3,4
District Hospital Ernakulam,Gynaecology,Saturday,11,3,1,0,36.0,0,122,50,0,2,2
District Hospital Ernakulam,Gynaecology,Wednesday,9,7,0,0,25.3,0,80,32,0,2,5
General Hospital Kollam,General OPD,Wednesday,14,4,0,0,34.6,0,41,12,1,1,5
Taluk Hospital Thrissur,Gynaecology,Monday,12,11,0,0,33.7,0,23,10,2,2,1
District Hospital Ernakulam,Orthopaedics,Tuesday,14,11,0,0,36.9,0,76,32,0,3,4
District Hospital Ernakulam,General OPD,Saturday,12,6,1,0,27.1,0,65,18,0,1,2
Taluk Hospital Thrissur,Gynaecology,Wednesday,14,12,0,0,36.8,0,68,29,2,2,5
Taluk Hospital Thrissur,Cardiology,Tuesday,17,2,0,0,30.3,0,65,28,2,0,4
Taluk Hospital Thrissur,General OPD,Monday,16,9,0,1,32.0,1,70,26,2,1,1
District Hospital Ernakulam,General OPD,Saturday,11,12,1,0,30.8,0,122,40,0,1,2
General Hospital Kollam,Paediatrics,Tuesday,16,7,0,0,31.9,1,73,30,1,4,4
Taluk Hospital Thrissur,General OPD,Thursday,12,1,0,0,27.1,0,24,6,2,1,3
District Hospital Ernakulam,General OPD,Friday,8,2,0,0,24.4,0,46,13,0,1,0
General Hospital Kollam,Paediatrics,Wednesday,14,8,0,0,36.8,1,35,13,1,4,5
Taluk Hospital Thrissur,Gynaecology,Tuesday,13,2,0,0,37.9,0,45,19,2,2,4
Taluk Hospital Thrissur,Cardiology,Monday,8,5,0,0,33.4,0,54,24,2,0,1
District Hospital Ernakulam,Cardiology,Tuesday,15,6,0,0,27.9,0,66,34,0,0,4
General Hospital Kollam,Paediatrics,Friday,8,4,0,0,24.9,0,58,17,1,4,0
Taluk Hospital Thrissur,General OPD,Tuesday,8,7,0,0,27.3,1,85,31,2,1,4
General Hospital Kollam,Gynaecology,Wednesday,11,12,0,0,28.5,0,88,42,1,2,5
District Hospital Ernakulam,Cardiology,Wednesday,10,11,0,0,27.1,0,69,29,0,0,5
Taluk Hospital Thrissur,Gynaecology,Saturday,10,11,1,0,30.0,0,96,34,2,2,2
District Hospital Ernakulam,Paediatrics,Friday,13,12,0,0,29.7,0,39,13,0,4,0
Taluk Hospital Thrissur,Paediatrics,Tuesday,11,5,0,0,33.9,0,101,36,2,4,4
General Hospital Kollam,Gynaecology,Thursday,14,9,0,0,25.9,1,43,17,1,2,3
General Hospital Kollam,Paediatrics,Wednesday,9,9,0,0,35.6,1,84,32,1,4,5
Taluk Hospital Thrissur,General OPD,Monday,11,10,0,0,33.4,0,63,20,2,1,1
District Hospital Ernakulam,Orthopaedics,Monday,11,4,0,0,25.6,0,98,38,0,3,1
